ID,MR_GOLD,MR_MN,MN
354,answer largest_one population_1 city loc_2 stateid(state_name),answer city loc_2 stateid(state_name) largest_one population_1,0
355,answer smallest_one population_1 city(all),answer city(all) smallest_one population_1,0
356,answer sum area_1 state(all),answer sum area_1 state(all),1
357,answer sum population_1 state(all),answer sum population_1 state(all),1
358,answer density_1 stateid(state_name),answer density_1 stateid(state_name),1
359,answer density_1 stateid(state_name),answer density_1 stateid(state_name),1
360,answer elevation_1 placeid(place_name),answer elevation_1 placeid(place_name),1
361,answer elevation_1 highest place loc_2 countryid(country_name),answer elevation_1 highest place loc_2 countryid(country_name),1
362,answer elevation_1 placeid(place_name),answer elevation_1 placeid(place_name),1
363,answer elevation_1 highest mountain loc_2 stateid(state_name),answer elevation_1 highest mountain loc_2 stateid(state_name),1
364,answer elevation_1 highest place loc_2 countryid(country_name),answer elevation_1 highest place loc_2 countryid(country_name),1
365,answer high_point_1 stateid(state_name),answer high_point_1 stateid(state_name),1
366,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
367,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
368,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
369,answer highest place loc_2 countryid(country_name),answer highest place loc_2 countryid(country_name),1
370,answer highest mountain loc_2 stateid(state_name),answer highest mountain loc_2 stateid(state_name),1
371,answer highest mountain loc_2 stateid(state_name),answer highest mountain loc_2 stateid(state_name),1
372,answer highest mountain loc_2 countryid(country_name),answer highest mountain loc_2 countryid(country_name),1
373,answer highest mountain loc_2 countryid(country_name),answer highest mountain loc_2 countryid(country_name),1
374,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
375,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
376,answer highest place loc_2 state loc_1 place elevation_2 0,answer highest place loc_2 state loc_1 elevation_2 place 0,0
377,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
378,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
379,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
380,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
381,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
382,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
383,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
384,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
385,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
386,answer highest place loc_2 state next_to_2 stateid(state_name),answer highest place loc_2 state next_to_2 stateid(state_name),1
387,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
388,answer highest place loc_2 countryid(country_name),answer highest place loc_2 countryid(country_name),1
389,answer highest place loc_2 smallest state(all),answer highest place loc_2 smallest state(all),1
390,"answer highest place loc_2 state loc_1 capital cityid(city_name, _)","answer highest place loc_2 state loc_1 capital cityid(city_name, _)",1
391,"answer highest place loc_2 state loc_1 capital cityid(city_name, _)","answer highest place loc_2 state loc_1 capital cityid(city_name, _)",1
392,"answer highest place loc_2 state loc_1 capital cityid(city_name, _)","answer highest place loc_2 state loc_1 capital cityid(city_name, _)",1
393,answer highest place loc_2 most state traverse_1 river(all),answer highest place loc_2 traverse_1 state most river(all),0
394,answer highest place loc_2 smallest_one population_1 state(all),answer highest place loc_2 state(all) smallest_one population_1,0
395,answer highest place loc_2 state next_to_2 stateid(state_name),answer highest place loc_2 state next_to_2 stateid(state_name),1
396,answer highest place loc_2 countryid(country_name),answer highest place loc_2 countryid(country_name),1
397,answer highest place loc_2 countryid(country_name),answer highest place loc_2 countryid(country_name),1
398,answer highest place loc_2 countryid(country_name),answer highest place loc_2 countryid(country_name),1
399,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
400,answer highest place loc_2 stateid(state_name),answer highest place loc_2 stateid(state_name),1
401,answer highest place loc_2 largest_one area_1 state(all),answer highest place loc_2 state(all) largest_one area_1,0
402,answer highest place loc_2 smallest_one density_1 state(all),answer highest place loc_2 state(all) smallest_one density_1,0
403,answer highest place loc_2 countryid(country_name),answer highest place loc_2 countryid(country_name),1
404,answer largest capital(all),answer largest capital(all),1
405,answer largest capital city loc_2 countryid(country_name),answer largest capital city loc_2 countryid(country_name),1
406,answer largest city loc_2 state next_to_2 stateid(state_name),answer largest city loc_2 state next_to_2 stateid(state_name),1
407,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
408,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
409,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
410,answer largest_one population_1 city loc_2 stateid(state_name),answer largest_one city loc_2 stateid(state_name) population_1,0
411,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
412,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
413,answer largest city loc_2 smallest state traverse_1 riverid(river_name),answer largest city loc_2 smallest state traverse_1 riverid(river_name),1
414,answer largest city loc_2 state next_to_2 stateid(state_name),answer largest city loc_2 state next_to_2 stateid(state_name),1
415,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
416,answer largest city loc_2 smallest state loc_2 countryid(country_name),answer largest city loc_2 smallest state loc_2 countryid(country_name),1
417,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
418,answer largest city loc_2 stateid(state_name),answer largest city loc_2 stateid(state_name),1
419,answer largest state traverse_1 riverid(river_name),answer largest state riverid(river_name) traverse_1,0
420,answer longest river loc_2 stateid(state_name),answer longest river loc_2 stateid(state_name),1
421,answer largest state(all),answer largest state(all),1
422,answer largest state next_to_2 stateid(state_name),answer largest state next_to_2 stateid(state_name),1
423,answer largest state next_to_2 stateid(state_name),answer largest state next_to_2 stateid(state_name),1
424,answer largest_one population_1 capital_1 state(all),answer largest_one state(all) capital_1 population_1,0
425,answer largest state loc_2 countryid(country_name),answer largest state loc_2 countryid(country_name),1
426,answer largest state loc_2 countryid(country_name),answer largest state loc_2 countryid(country_name),1
427,answer largest state next_to_2 stateid(state_name),answer largest state next_to_2 stateid(state_name),1
428,answer largest state next_to_2 stateid(state_name),answer largest state next_to_2 stateid(state_name),1
429,answer largest state next_to_2 largest_one population_1 state(all),answer largest state next_to_2 state(all) largest_one population_1,0
430,answer largest state next_to_2 state loc_1 lowest place loc_2 countryid(country_name),answer largest state next_to_2 state loc_1 lowest place loc_2 countryid(country_name),1
431,answer largest state traverse_1 riverid(river_name),answer largest state traverse_1 riverid(river_name),1
432,answer smallest_one population_1 state(all),answer smallest_one population_1 state(all),1
433,answer len riverid(river_name),answer len riverid(river_name),1
434,"answer len intersection riverid(colorado', river loc_2 stateid(state_name)",answer len intersection riverid(river_name) river loc_2 stateid(state_name),1
435,answer len longest river loc_2 countryid(country_name),answer len longest river loc_2 countryid(country_name),1
436,answer len longest river traverse_2 stateid(state_name),answer len longest river traverse_2 stateid(state_name),1
437,answer len riverid(river_name),answer len riverid(river_name),1
438,answer len most river traverse_2 state(all),answer len river traverse_2 most state(all),0
439,answer len most river traverse_2 state(all),answer len river traverse_2 most state(all),0
440,answer len most river traverse_2 state(all),answer len river traverse_2 most state(all),0
441,answer len most river traverse_2 state(all),answer len river traverse_2 most state(all),0
442,answer longest river(all),answer longest river(all),1
443,answer longest river traverse_2 stateid(state_name),answer longest river traverse_2 stateid(state_name),1
444,answer longest river loc_2 countryid(country_name),answer longest river loc_2 countryid(country_name),1
445,answer longest river loc_2 stateid(state_name),answer longest river loc_2 stateid(state_name),1
446,answer longest river loc_2 stateid(state_name),answer longest river loc_2 stateid(state_name),1
447,answer longest river loc_2 stateid(state_name),answer longest river loc_2 stateid(state_name),1
448,answer longest river loc_2 stateid(state_name),answer longest river loc_2 stateid(state_name),1
449,answer longest river loc_2 stateid(state_name),answer longest river loc_2 stateid(state_name),1
450,answer longest river loc_2 stateid(state_name),answer longest river loc_2 stateid(state_name),1
451,answer longest river loc_2 largest state(all),answer longest river loc_2 largest state(all),1
452,answer longest river loc_2 smallest state loc_2 countryid(country_name),answer longest river loc_2 smallest state loc_2 countryid(country_name),1
453,answer longest river loc_2 state loc_1 highest place(all),answer longest river loc_2 state loc_1 highest place(all),1
454,answer longest river loc_2 most state loc_1 major city(all),answer longest river loc_2 state loc_1 most major city(all),0
455,answer longest river loc_2 state next_to_2 stateid(state_name),answer longest river loc_2 state next_to_2 stateid(state_name),1
456,answer longest river loc_2 countryid(country_name),answer longest river loc_2 countryid(country_name),1
457,answer longest river loc_2 countryid(country_name),answer longest river loc_2 countryid(country_name),1
458,answer longest exclude river(all) traverse_2 stateid(state_name),answer longest river(all) exclude traverse_2 stateid(state_name),0
459,answer longest river traverse_2 state next_to_2 stateid(state_name),answer longest river traverse_2 state next_to_2 stateid(state_name),1
460,answer longest river traverse_2 stateid(state_name),answer longest river traverse_2 stateid(state_name),1
461,answer longest river traverse_2 state next_to_2 most state next_to_2 state(all),answer longest river traverse_2 state next_to_2 state next_to_2 most state(all),0
462,answer longest river traverse_2 state next_to_2 stateid(state_name),answer longest river traverse_2 state next_to_2 stateid(state_name),1
463,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
464,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
465,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
466,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
467,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
468,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
469,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
470,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
471,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
472,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
473,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
474,answer lowest place loc_2 countryid(country_name),answer lowest place loc_2 countryid(country_name),1
475,answer lowest place loc_2 countryid(country_name),answer lowest place loc_2 countryid(country_name),1
476,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
477,answer lowest place loc_2 state traverse_1 riverid(river_name),answer lowest place loc_2 state traverse_1 riverid(river_name),1
478,answer lowest place loc_2 stateid(state_name),answer lowest place loc_2 stateid(state_name),1
479,answer lowest place loc_2 largest_one area_1 state(all),answer lowest place loc_2 state(all) largest_one area_1,0
480,answer lowest place loc_2 countryid(country_name),answer lowest place loc_2 countryid(country_name),1
481,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
482,"answer highest place loc_2 cityid(city_name, _)","answer highest place loc_2 cityid(city_name, _)",1
483,answer largest_one density_1 state loc_2 countryid(country_name),answer largest_one density_1 state loc_2 countryid(country_name),1
484,answer largest_one population_1 capital loc_2 countryid(country_name),answer largest_one population_1 capital loc_2 countryid(country_name),1
485,answer largest_one population_1 state next_to_2 stateid(state_name),answer largest_one population_1 state next_to_2 stateid(state_name),1
486,answer largest_one population_1 city(all),answer largest_one population_1 city(all),1
487,answer largest_one population_1 city loc_2 stateid(state_name),answer largest_one population_1 city loc_2 stateid(state_name),1
488,answer largest_one population_1 city loc_2 stateid(state_name),answer largest_one population_1 city loc_2 stateid(state_name),1
489,answer largest_one population_1 state(all),answer largest_one population_1 state(all),1
490,answer largest_one population_1 state loc_2 countryid(country_name),answer largest_one population_1 state loc_2 countryid(country_name),1
491,answer largest_one population_1 state traverse_1 riverid(river_name),answer largest_one population_1 state traverse_1 riverid(river_name),1
492,answer state loc_1 lowest place(all),answer state loc_1 lowest place(all),1
493,answer count state next_to_2 stateid(state_name),answer count next_to_2 state stateid(state_name),0
494,"answer density_1 state loc_1 capital cityid(city_name, _)","answer density_1 state loc_1 capital cityid(city_name, _)",1
495,answer density_1 stateid(state_name),answer density_1 stateid(state_name),1
496,answer density_1 stateid(state_name),answer density_1 stateid(state_name),1
497,answer density_1 stateid(state_name),answer density_1 stateid(state_name),1
498,answer density_1 largest state(all),answer density_1 largest state(all),1
499,answer density_1 smallest state(all),answer density_1 smallest state(all),1
500,answer density_1 smallest_one area_1 state(all),answer density_1 state(all) smallest_one area_1,0
501,answer density_1 smallest_one population_1 state(all),answer density_1 state(all) smallest_one population_1,0
502,answer density_1 stateid(state_name),answer density_1 stateid(state_name),1
503,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
504,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
505,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
506,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
507,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1
508,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
509,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1
510,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1
511,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
512,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
513,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
514,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
515,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1
516,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
517,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
518,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
519,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
520,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
521,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
522,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
523,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
524,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
525,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
526,"answer population_1 city cityid(city_name, _)","answer population_1 cityid(city_name, _) city",0
527,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
528,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1
529,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
530,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
531,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
532,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
533,"answer population_1 cityid(seattle, wa","answer population_1 cityid(city_name, state_name)",1
534,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
535,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1
536,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1
537,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1
538,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
539,answer population_1 capital loc_2 largest state(all),answer population_1 capital loc_2 largest state(all),1
540,answer population_1 capital loc_2 largest state traverse_1 riverid(river_name),answer population_1 capital loc_2 largest state traverse_1 riverid(river_name),1
541,answer population_1 capital loc_2 smallest state(all),answer population_1 capital loc_2 smallest state(all),1
542,answer population_1 largest city loc_2 largest_one area_1 state(all),answer population_1 largest city loc_2 state(all) largest_one area_1,0
543,answer population_1 largest state(all),answer population_1 largest state(all),1
544,answer population_1 largest state next_to_2 stateid(state_name),answer population_1 largest state next_to_2 stateid(state_name),1
545,answer population_1 major city loc_2 stateid(state_name),answer population_1 major city loc_2 stateid(state_name),1
546,answer smallest population_1 state(all),answer population_1 smallest state(all),0
547,answer population_1 most state next_to_2 state(all),answer population_1 state next_to_2 most state(all),0
548,answer population_1 largest_one density_1 state(all),answer population_1 state(all) largest_one density_1,0
549,answer population_1 largest_one area_1 state(all),answer population_1 state(all) largest_one area_1,0
550,"answer population_1 cityid(city_name, _)","answer population_1 cityid(city_name, _)",1
551,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
552,answer population_1 stateid(state_name),answer population_1 stateid(state_name),1
553,"answer population_1 cityid(city_name, state_name)","answer population_1 cityid(city_name, state_name)",1
554,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
555,answer shortest river(all),answer shortest river(all),1
556,answer shortest river loc_2 stateid(state_name),answer shortest river loc_2 stateid(state_name),1
557,answer shortest river loc_2 stateid(state_name),answer shortest river loc_2 stateid(state_name),1
558,answer shortest river loc_2 stateid(state_name),answer shortest river loc_2 stateid(state_name),1
559,answer shortest river loc_2 stateid(state_name),answer shortest river loc_2 stateid(state_name),1
560,answer shortest river loc_2 countryid(country_name),answer shortest river loc_2 countryid(country_name),1
561,answer shortest river loc_2 countryid(country_name),answer shortest river loc_2 countryid(country_name),1
562,answer shortest river loc_2 countryid(country_name),answer shortest river loc_2 countryid(country_name),1
563,answer size stateid(state_name),answer size stateid(state_name),1
564,answer size stateid(state_name),answer size stateid(state_name),1
565,answer size stateid(state_name),answer size stateid(state_name),1
566,answer size capital loc_2 stateid(state_name),answer size capital loc_2 stateid(state_name),1
567,answer size largest state loc_2 countryid(country_name),answer size largest state loc_2 countryid(country_name),1
568,answer smallest city loc_2 stateid(state_name),answer smallest city loc_2 stateid(state_name),1
569,answer smallest city loc_2 stateid(state_name),answer smallest city loc_2 stateid(state_name),1
570,answer smallest city loc_2 stateid(state_name),answer smallest city loc_2 stateid(state_name),1
571,answer smallest city loc_2 largest state(all),answer smallest city loc_2 largest state(all),1
572,answer smallest city loc_2 countryid(country_name),answer smallest city loc_2 countryid(country_name),1
573,answer smallest city loc_2 countryid(country_name),answer smallest city loc_2 countryid(country_name),1
574,answer smallest city loc_2 stateid(state_name),answer smallest city loc_2 stateid(state_name),1
575,answer smallest city loc_2 smallest state loc_2 countryid(country_name),answer smallest city loc_2 smallest state loc_2 countryid(country_name),1
576,answer smallest state next_to_2 stateid(state_name),answer smallest state next_to_2 stateid(state_name),1
577,answer smallest state next_to_2 stateid(state_name),answer smallest state next_to_2 stateid(state_name),1
578,answer smallest_one area_1 state(all),answer smallest_one state(all) area_1,0
579,answer smallest state loc_2 countryid(country_name),answer smallest state loc_2 countryid(country_name),1
580,answer smallest state next_to_2 stateid(state_name),answer smallest state next_to_2 stateid(state_name),1
581,answer smallest most state next_to_2 state(all),answer smallest state next_to_2 most state(all),0
582,answer smallest state traverse_1 riverid(river_name),answer smallest state riverid(river_name) traverse_1,0
583,answer smallest state traverse_1 longest river(all),answer smallest state traverse_1 longest river(all),1
584,answer state loc_1 highest place(all),answer state loc_1 highest place(all),1
585,answer state loc_1 highest place loc_2 countryid(country_name),answer state loc_1 highest place loc_2 countryid(country_name),1
586,answer largest_one area_1 state(all),answer state(all) largest_one area_1,0
587,answer largest_one density_1 state loc_2 countryid(country_name),answer state largest_one density_1 loc_2 countryid(country_name),0
588,answer largest_one density_1 state(all),answer state(all) largest_one density_1,0
589,answer state loc_1 lowest place(all),answer state loc_1 lowest place(all),1
590,answer smallest_one population_1 state(all),answer state(all) smallest_one population_1,0
591,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
592,answer smallest_one area_1 state(all),answer state(all) smallest_one area_1,0
593,answer highest mountain loc_2 countryid(country_name),answer highest mountain loc_2 countryid(country_name),1
594,answer highest mountain loc_2 countryid(country_name),answer highest mountain loc_2 countryid(country_name),1
595,answer area_1 countryid(country_name),answer area_1 countryid(country_name),1
596,answer sum len river(all),answer sum len river(all),1
597,answer sum population_1 state next_to_2 stateid(state_name),answer sum population_1 state next_to_2 stateid(state_name),1
598,answer len riverid(river_name),answer len riverid(river_name),1
599,answer major city loc_2 stateid(state_name),answer major city loc_2 stateid(state_name),1
600,answer major river traverse_2 stateid(state_name),answer major river traverse_2 stateid(state_name),1
601,answer mountain loc_2 stateid(state_name),answer mountain loc_2 stateid(state_name),1
602,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
603,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
604,answer most river traverse_2 state(all),answer river traverse_2 most state(all),0
605,answer longest river loc_2 countryid(country_name),answer river longest loc_2 countryid(country_name),0
606,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
607,answer most river traverse_2 state(all),answer river traverse_2 most state(all),0
608,answer river traverse_2 most state loc_1 city(all),answer river traverse_2 state loc_1 most city(all),0
609,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
610,answer most river traverse_2 state(all),answer river traverse_2 most state(all),0
611,answer river traverse_2 most state next_to_2 state(all),answer river traverse_2 state next_to_2 most state(all),0
612,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
613,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
614,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
615,answer river loc_2 state next_to_2 stateid(state_name),answer river loc_2 state next_to_2 stateid(state_name),1
616,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
617,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
618,answer river loc_2 stateid(state_name),answer river loc_2 stateid(state_name),1
619,answer exclude river(all) traverse_2 stateid(state_name),answer river(all) exclude traverse_2 stateid(state_name),0
620,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
621,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
622,answer river traverse_2 state next_to_1 stateid(state_name),answer river traverse_2 state stateid(state_name) next_to_1,0
623,answer river traverse_2 state next_to_2 largest_one population_1 state(all),answer river traverse_2 state next_to_2 state(all) largest_one population_1,0
624,answer river traverse_2 largest state(all),answer river traverse_2 largest state(all),1
625,answer river traverse_2 largest_one population_1 state(all),answer river traverse_2 state(all) largest_one population_1,0
626,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
627,"answer river traverse_2 cityid(city_name, state_name)","answer river traverse_2 cityid(city_name, state_name)",1
628,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
629,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
630,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
631,answer river traverse_2 stateid(state_name),answer river traverse_2 stateid(state_name),1
632,answer river traverse_2 state loc_1 lowest place loc_2 countryid(country_name),answer river traverse_2 state loc_1 lowest place loc_2 countryid(country_name),1
633,"answer river traverse_2 state next_to_2 state loc_1 capital cityid(city_name, _)","answer river traverse_2 state next_to_2 state loc_1 capital cityid(city_name, _)",1
634,answer river traverse_2 stateid(west virginia,answer river traverse_2 stateid(state_name),1
635,answer river traverse_2 most state next_to_2 state(all),answer river traverse_2 state next_to_2 most state(all),0
636,answer largest_one population_1 state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name) largest_one population_1,0
637,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
638,answer most state next_to_2 state(all),answer state next_to_2 most state(all),0
639,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
640,answer fewest state next_to_2 state(all),answer state next_to_2 fewest state(all),0
641,answer fewest state next_to_2 exclude exclude state(all) stateid(state_name) stateid(state_name),answer state next_to_2 fewest state(all) exclude stateid(state_name) exclude stateid(state_name),0
642,answer most state next_to_2 state(all),answer state next_to_2 most state(all),0
643,answer state next_to_2 smallest_one population_1 state(all),answer state next_to_2 state(all) smallest_one population_1,0
644,answer state loc_1 highest place loc_2 countryid(country_name),answer state loc_1 highest place loc_2 countryid(country_name),1
645,answer state loc_1 highest place loc_2 state traverse_1 riverid(river_name),answer state loc_1 highest place loc_2 state riverid(river_name) traverse_1,0
646,answer state loc_1 highest place(all),answer state loc_1 highest place(all),1
647,answer exclude state(all) loc_1 river(all),answer state(all) loc_1 exclude river(all),0
648,"answer state loc_1 capital cityid(city_name, _)","answer state loc_1 capital cityid(city_name, _)",1
649,"answer state loc_1 city cityid(city_name, _)","answer state loc_1 city cityid(city_name, _)",1
650,answer state loc_1 largest_one population_1 city(all),answer state loc_1 city(all) largest_one population_1,0
651,answer state loc_1 largest_one population_1 city(all),answer state loc_1 city(all) largest_one population_1,0
652,answer largest_one density_1 state(all),answer state(all) largest_one density_1,0
653,answer state loc_1 highest place(all),answer state loc_1 highest place(all),1
654,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
655,answer largest_one density_1 state(all),answer state(all) largest_one density_1,0
656,answer largest_one area_1 state(all),answer state(all) largest_one area_1,0
657,answer state loc_1 largest capital(all),answer state loc_1 largest capital(all),1
658,answer state loc_1 largest city(all),answer state loc_1 largest city(all),1
659,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
660,answer largest_one density_1 state(all),answer state(all) largest_one density_1,0
661,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
662,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
663,answer state loc_1 longest river(all),answer state loc_1 longest river(all),1
664,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
665,answer most state loc_1 city(all),answer state loc_1 most city(all),0
666,answer most state loc_1 major city(all),answer state loc_1 most major city(all),0
667,answer most state traverse_1 major river(all),answer state most major river(all) traverse_1,0
668,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
669,answer most state loc_1 river(all),answer state loc_1 most river(all),0
670,answer most state traverse_1 river(all),answer state most river(all) traverse_1,0
671,answer state loc_1 shortest river(all),answer state loc_1 shortest river(all),1
672,answer smallest_one area_1 state(all),answer state(all) smallest_one area_1,0
673,answer state loc_1 smallest capital(all),answer state loc_1 smallest capital(all),1
674,answer smallest_one population_1 state(all),answer state(all) smallest_one population_1,0
675,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
676,answer smallest_one population_1 state(all),answer state(all) smallest_one population_1,0
677,answer smallest_one density_1 state(all),answer state(all) smallest_one density_1,0
678,"answer state loc_1 cityid(city_name, _)","answer state cityid(city_name, _) loc_1",0
679,"answer state loc_1 capital cityid(city_name, _)","answer state cityid(city_name, _) capital loc_1",0
680,"answer state loc_1 cityid(city_name, _)","answer state cityid(city_name, _) loc_1",0
681,"answer state loc_1 capital cityid(city_name, _)","answer state cityid(city_name, _) capital loc_1",0
682,"answer state loc_1 cityid(city_name, _)","answer state cityid(city_name, _) loc_1",0
683,"answer state loc_1 cityid(city_name, _)","answer state cityid(city_name, _) loc_1",0
684,"answer state loc_1 cityid(city_name, _)","answer state cityid(city_name, _) loc_1",0
685,"answer state loc_1 cityid(city_name, _)","answer state cityid(city_name, _) loc_1",0
686,answer largest state(all),answer state(all) largest,0
687,answer largest_one population_1 state(all),answer state(all) largest_one population_1,0
688,answer state most state loc_1 river(all),answer state state loc_1 most river(all),0
689,answer largest_one population_1 state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name) largest_one population_1,0
690,answer largest state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name) largest,0
691,answer largest_one population_1 state traverse_1 riverid(river_name),answer state riverid(river_name) traverse_1 largest_one population_1,0
692,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
693,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
694,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
695,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
696,answer state next_to_2 stateid(state_name),answer state next_to_2 stateid(state_name),1
